,season_name,season,full_name,castaway,age,age_group,city,state,Lat,Lon,personality_type,personality_name,day,order,result,total_votes_received,immunity_idols_won
0,Survivor: Winners at War,40,Natalie Anderson,Natalie,33,26-35,Edgewater,New Jersey,40.8270448,-73.975694,ESTP,Entrepreneur,2,1,1st voted out,11,1
1,Survivor: Winners at War,40,Amber Mariano,Amber,40,36-45,Pensacola,Florida,30.421309,-87.2169149,ISFP,Adventurer,3,2,2nd voted out,6,0
2,Survivor: Winners at War,40,Danni Boatwright,Danni,43,36-45,Shawnee,Kansas,39.0273676,-95.7627535,ENFJ,Protagonist,6,3,3rd voted out,8,0
3,Survivor: Winners at War,40,Ethan Zohn,Ethan,45,36-45,Hillsborough,New Hampshire,43.1470788,-71.94574348218381,ISFP,Adventurer,9,4,4th voted out,4,0
4,Survivor: Winners at War,40,Tyson Apostol,Tyson,39,36-45,Mesa,Arizona,33.4151117,-111.8314792,ESTP,Entrepreneur,11,5,5th voted out,12,0
5,Survivor: Winners at War,40,Rob Mariano,Rob,43,36-45,Pensacola,Florida,30.421309,-87.2169149,ESTJ,Executive,14,6,6th voted out,4,0
6,Survivor: Winners at War,40,Parvati Shallow,Parvati,36,36-45,Los Angeles,California,34.0536909,-118.242766,ENFJ,Protagonist,16,7,7th voted out,8,0
7,Survivor: Winners at War,40,Sandra Diaz-Twine,Sandra,44,36-45,Riverview,Florida,27.871197,-82.3269883,ESTP,Entrepreneur,16,8,8th voted out,2,0
8,Survivor: Winners at War,40,Yul Kwon,Yul,44,36-45,Los Altos,California,37.3790629,-122.116578,INTJ,Architect,18,9,9th voted out,3,0
9,Survivor: Winners at War,40,Wendell Holland,Wendell,35,26-35,Philadelphia,Pennsylvania,39.9527237,-75.1635262,INFJ,Advocate,21,10,10th voted out,14,0
10,Survivor: Winners at War,40,Adam Klein,Adam,28,26-35,Los Angeles,California,34.0536909,-118.242766,ENTP,Debater,23,11,11th voted out,15,0
11,Survivor: Winners at War,40,Tyson Apostol,Tyson,39,36-45,Mesa,Arizona,33.4151117,-111.8314792,ESTP,Entrepreneur,25,12,12th voted out,12,0
12,Survivor: Winners at War,40,Sophie Clarke,Sophie,29,26-35,Santa Monica,California,34.0194704,-118.4912273,INTJ,Architect,28,13,13th voted out,6,0
13,Survivor: Winners at War,40,Kim Spradlin-Wolfe,Kim,36,36-45,San Antonio,Texas,29.4246002,-98.4951405,INFJ,Advocate,29,14,14th voted out,9,1
14,Survivor: Winners at War,40,Jeremy Collins,Jeremy,41,36-45,Foxboro,Massachusetts,42.0584323,-71.2494975,ESTJ,Executive,31,15,15th voted out,9,1
15,Survivor: Winners at War,40,Nick Wilson,Nick,28,26-35,Williamsburg,Kentucky,36.7434169,-84.1596561,ENTP,Debater,34,16,16th voted out,8,1
16,Survivor: Winners at War,40,Denise Stapley,Denise,48,46-55,Marion,Iowa,41.3144108,-93.1010141,INFJ,Advocate,36,17,17th voted out,18,2
17,Survivor: Winners at War,40,Ben Driebergen,Ben,36,36-45,Boise,Idaho,43.6166163,-116.200886,ESFP,Entertainer,37,18,18th voted out,7,0
18,Survivor: Winners at War,40,Sarah Lacina,Sarah,34,26-35,Cedar Rapids,Iowa,41.9758872,-91.6704053,ENTJ,Commander,38,19,Eliminated,2,0
19,Survivor: Winners at War,40,Michele Fitzgerald,Michele,29,26-35,Hoboken,New Jersey,40.7433066,-74.0323752,ESFP,Entertainer,39,20,2nd runner-up,6,2
20,Survivor: Winners at War,40,Natalie Anderson,Natalie,33,26-35,Edgewater,New Jersey,40.8270448,-73.975694,ESTP,Entrepreneur,39,21,Runner-up,11,1
21,Survivor: Winners at War,40,Tony Vlachos,Tony,45,36-45,Allendale,New Jersey,41.0414858,-74.129032,ESTP,Entrepreneur,39,22,Sole Survivor,0,4
22,Survivor: Island of the Idols,39,Ronnie Bardah,Ronnie,36,36-45,Henderson,Nevada,36.0301134,-114.9826194,ISTP,Virtuoso,3,1,1st voted out,7,0
23,Survivor: Island of the Idols,39,Molly Byman,Molly,27,26-35,Durham,North Carolina,35.996653,-78.9018053,INTJ,Architect,6,2,2nd voted out,7,0
24,Survivor: Island of the Idols,39,Vince Moua,Vince,27,26-35,Palo Alto,California,37.4443293,-122.1598465,ENFP,Campaigner,8,3,3rd voted out,7,0
25,Survivor: Island of the Idols,39,Chelsea Walker,Chelsea,27,26-35,Los Angeles,California,34.0536909,-118.242766,ENTP,Debater,11,4,4th voted out,6,0
26,Survivor: Island of the Idols,39,Tom Laidlaw,Tom,60,56-65,Greenwich,Connecticut,41.0264862,-73.6284598,ESFJ,Consul,14,5,5th voted out,6,0
27,Survivor: Island of the Idols,39,Jason Linden,Jason,32,26-35,New York City,New York,40.7127281,-74.0060152,ENTP,Debater,16,6,6th voted out,6,0
28,Survivor: Island of the Idols,39,Jack Nichting,Jack,23,16-25,Harrisonburg,Virginia,38.4493315,-78.8688833,ENFP,Campaigner,19,7,7th voted out,2,0
29,Survivor: Island of the Idols,39,Kellee Kim,Kellee,29,26-35,Philadelphia,Pennsylvania,39.9527237,-75.1635262,INTP,Logician,22,8,8th voted out,8,0
30,Survivor: Island of the Idols,39,Jamal Shipman,Jamal,33,26-35,Providence,Rhode Island,41.8239891,-71.4128343,ENFJ,Protagonist,24,9,9th voted out,6,0
31,Survivor: Island of the Idols,39,Aaron Meredith,Aaron,36,36-45,Warwick,Rhode Island,41.7002024,-71.4161108,ESTJ,Executive,27,10,10th voted out,10,2
32,Survivor: Island of the Idols,39,Missy Byrd,Missy,24,16-25,Tacoma,Washington,47.2495798,-122.4398746,INTJ,Architect,27,11,11th voted out,6,0
33,Survivor: Island of the Idols,39,Elizabeth Beisel,Elizabeth,26,26-35,Saunderstown,Rhode Island,41.5078795,-71.4245004,ENFJ,Protagonist,30,12,12th voted out,8,0
34,Survivor: Island of the Idols,39,Karishma Patel,Karishma,37,36-45,Houston,Texas,29.7589382,-95.3676974,INFP,Mediator,32,13,13th voted out,22,0
35,Survivor: Island of the Idols,39,Elaine Stott,Elaine,41,36-45,Rockholds,Kentucky,36.8286964,-84.1163215,ENFP,Campaigner,35,14,14th voted out,8,1
36,Survivor: Island of the Idols,39,Dan Spilo,Dan,48,46-55,Los Angeles,California,34.0536909,-118.242766,ENTJ,Commander,36,15,Ejected,5,0
37,Survivor: Island of the Idols,39,Janet Carbin,Janet,59,56-65,Palm Bay,Florida,27.959186199999998,-80.67174097572686,ENFJ,Protagonist,37,16,15th voted out,9,0
38,Survivor: Island of the Idols,39,Lauren Beck,Lauren,28,26-35,Glendale,California,34.1469416,-118.2478471,ENFP,Campaigner,38,17,Eliminated,1,1
39,Survivor: Island of the Idols,39,Noura Salman,Noura,36,36-45,North Potomac,Maryland,39.098235599999995,-77.23750296809365,ENFP,Campaigner,39,18,2nd runner-up,6,3
40,Survivor: Island of the Idols,39,Dean Kowalski,Dean,28,26-35,New York City,New York,40.7127281,-74.0060152,ISTP,Virtuoso,39,19,Runner-up,5,2
41,Survivor: Island of the Idols,39,Tommy Sheehan,Tommy,26,26-35,Long Beach,New York,40.5885116,-73.657861,ENFJ,Protagonist,39,20,Sole Survivor,4,0
42,Survivor: Edge of Extinction,38,Reem Daly,Reem,46,46-55,Ashburn,Virginia,39.030019100000004,-77.46964646557657,ESTP,Entrepreneur,3,1,1st voted out,4,0
43,Survivor: Edge of Extinction,38,Keith Sowell,Keith,19,16-25,Durham,North Carolina,35.996653,-78.9018053,INFP,Mediator,6,2,2nd voted out,6,0
44,Survivor: Edge of Extinction,38,Chris Underwood,Chris,25,16-25,Greenville,South Carolina,34.851354,-82.3984882,ENTP,Debater,8,3,3rd voted out,9,1
45,Survivor: Edge of Extinction,38,Rick Devens,Rick,33,26-35,Macon,Georgia,32.8406946,-83.6324022,ENTP,Debater,11,4,4th voted out,12,4
46,Survivor: Edge of Extinction,38,Aubry Bracco,Aubry,32,26-35,Los Angeles,California,34.0536909,-118.242766,INFJ,Advocate,13,5,5th voted out,4,0
47,Survivor: Edge of Extinction,38,Wendy Diaz,Wendy,25,16-25,Bell,California,33.9747806,-118.1866361,ENFP,Campaigner,16,6,6th voted out,15,0
48,Survivor: Edge of Extinction,38,Joe Anglim,Joe,29,26-35,Ogden,Utah,41.2230048,-111.9738429,ISFP,Adventurer,19,7,7th voted out,6,0
49,Survivor: Edge of Extinction,38,Eric Hafemann,Eric,34,26-35,Livermore,California,37.6820583,-121.7680531,ESTP,Entrepreneur,22,8,8th voted out,8,0
50,Survivor: Edge of Extinction,38,Julia Carter,Julia,25,16-25,Bethesda,Maryland,38.9819845,-77.12423413116392,ESFJ,Consul,23,9,9th voted out,9,0
51,Survivor: Edge of Extinction,38,David Wright,David,44,36-45,Sherman Oaks,California,34.1508718,-118.4489865,INFP,Mediator,25,10,10th voted out,12,0
52,Survivor: Edge of Extinction,38,Kelley Wentworth,Kelley,32,26-35,Seattle,Washington,47.6038321,-122.3300624,ENTP,Debater,27,11,11th voted out,14,0
